,user_id,anime_id,rating
0,1,20,-1
1,1,24,-1
2,1,79,-1
3,1,226,-1
4,1,241,-1
5,1,355,-1
6,1,356,-1
7,1,442,-1
8,1,487,-1
9,1,846,-1
10,1,936,-1
11,1,1546,-1
12,1,1692,-1
13,1,1836,-1
14,1,2001,-1
15,1,2025,-1
16,1,2144,-1
17,1,2787,-1
18,1,2993,-1
19,1,3455,-1
20,1,4063,-1
21,1,4214,-1
22,1,4224,-1
23,1,4581,-1
24,1,4744,-1
25,1,4898,-1
26,1,4999,-1
27,1,5034,-1
28,1,5277,-1
29,1,5667,-1
30,1,5781,-1
31,1,5958,-1
32,1,6163,-1
33,1,6205,-1
34,1,6324,-1
35,1,6500,-1
36,1,6547,-1
37,1,6682,-1
38,1,6707,-1
39,1,6747,-1
40,1,6773,-1
41,1,6793,-1
42,1,7088,-1
43,1,7148,-1
44,1,7593,-1
45,1,7739,-1
46,1,7858,-1
47,1,8074,10
48,1,8407,-1
49,1,8424,-1
50,1,8525,-1
51,1,8630,-1
52,1,8841,-1
53,1,9041,-1
54,1,9062,-1
55,1,9136,-1
56,1,9181,-1
57,1,9330,-1
58,1,9367,-1
59,1,9515,-1
60,1,9581,-1
61,1,9675,-1
62,1,9750,-1
63,1,9790,-1
64,1,9919,-1
65,1,10067,-1
66,1,10073,-1
67,1,10076,-1
68,1,10079,-1
69,1,10080,-1
70,1,10209,-1
71,1,10578,-1
72,1,10604,-1
73,1,10719,-1
74,1,10790,-1
75,1,10793,-1
76,1,10794,-1
77,1,10805,-1
78,1,10897,-1
79,1,11161,-1
80,1,11266,-1
81,1,11617,10
82,1,11737,-1
83,1,11757,10
84,1,11759,-1
85,1,11771,-1
86,1,12293,-1
87,1,12549,-1
88,1,12729,-1
89,1,13357,-1
90,1,13367,-1
91,1,13411,-1
92,1,13561,-1
93,1,13663,-1
94,1,13759,-1
95,1,14749,-1
96,1,14813,-1
97,1,14833,-1
98,1,14967,-1
99,1,15117,-1
100,1,15437,-1
101,1,15451,10
102,1,15583,-1
103,1,15609,-1
104,1,16011,-1
105,1,16498,-1
106,1,16706,-1
107,1,17265,-1
108,1,17729,-1
109,1,18247,-1
110,1,18277,-1
111,1,18753,-1
112,1,18897,-1
113,1,19163,-1
114,1,19221,-1
115,1,19285,-1
116,1,19429,-1
117,1,19815,-1
118,1,20045,-1
119,1,20785,-1
120,1,20787,-1
121,1,21033,-1
122,1,21881,-1
123,1,22147,-1
124,1,22199,-1
125,1,22319,-1
126,1,22535,-1
127,1,22547,-1
128,1,22663,-1
129,1,22877,-1
130,1,23233,-1
131,1,23321,-1
132,1,23847,-1
133,1,24133,-1
134,1,24455,-1
135,1,24873,-1
136,1,25099,-1
137,1,25157,-1
